order_item_id,order_id,product_id,quantity,unit_price
OI001,O1001,P001,1,65000
OI002,O1001,P009,1,1200
OI003,O1002,P002,2,2500
OI004,O1003,P005,5,450
OI005,O1004,P010,1,14500
OI006,O1004,P008,1,3200
OI007,O1005,P003,1,7000
OI008,O1006,P004,2,1800
OI009,O1007,P006,3,650
OI010,O1008,P007,1,2200
OI011,O1009,P002,1,2500
OI012,O1010,P001,1,65000
OI013,O1011,P005,10,450
OI014,O1012,P010,2,14500
OI015,O1013,P003,1,7000
OI016,O1014,P009,2,1200
OI017,O1015,P008,1,3200
OI018,O1016,P002,-1,2500
OI019,O1017,P999,1,1000
OI020,O9999,P001,1,65000
OI021,O1018,P003,1,
OI022,O1019,P004,0,1800
