order_id,customer_id,store_id,order_date,status
O1001,C001,S001,2026-01-05,COMPLETED
O1002,C002,S002,2026-01-08,COMPLETED
O1003,C003,S003,2026-01-14,CANCELLED
O1004,C001,S001,2026-02-02,COMPLETED
O1005,C004,S006,2026-02-11,COMPLETED
O1006,C005,S002,2026-02-13,COMPLETED
O1007,C006,S004,2026-02-20,PENDING
O1008,C007,S005,2026-03-03,COMPLETED
O1009,C008,S002,2026-03-10,COMPLETED
O1010,C009,S003,2026-03-18,COMPLETED
O1011,C010,S001,2026-03-21,COMPLETED
O1012,C002,S006,2026-03-28,COMPLETED
O1013,C004,S006,2026-04-02,COMPLETED
O1014,C005,S002,2026-04-07,COMPLETED
O1015,C006,S004,2026-04-09,COMPLETED
O1015,C006,S004,2026-04-09,COMPLETED
O1016,,S001,2026-04-10,COMPLETED
O1017,C999,S001,2026-04-11,COMPLETED
O1018,C003,S999,2026-04-11,COMPLETED
O1019,C003,S001,11-04-2026,COMPLETED
